timestamp,image_name,jerk,gyro_mag,trigger_reason
1780237813005,keyframe_1780237813005.jpg,17.737389,0.0925967,sudden_movement
1780237813559,keyframe_1780237813559.jpg,17.552757,0.5646815,high_motion_transition
1780237814074,keyframe_1780237814074.jpg,11.8694315,0.074965715,sudden_movement
1780237814588,keyframe_1780237814588.jpg,18.980265,0.10471817,sudden_movement
1780237815103,keyframe_1780237815103.jpg,21.27658,0.8083893,high_motion_transition
1780237815604,keyframe_1780237815604.jpg,0.0,1.2659805,turn_detected
1780237816105,keyframe_1780237816105.jpg,0.0,1.1544136,turn_detected
1780237816687,keyframe_1780237816687.jpg,15.885671,0.08774108,sudden_movement
1780237817239,keyframe_1780237817239.jpg,18.573656,0.15786055,sudden_movement
1780237817755,keyframe_1780237817755.jpg,12.106895,0.058640443,sudden_movement
1780237818269,keyframe_1780237818269.jpg,5.2981377,0.65452063,high_motion_transition
1780237818775,keyframe_1780237818775.jpg,0.0,1.0727835,turn_detected
1780237819338,keyframe_1780237819338.jpg,6.474209,0.5130131,high_motion_transition
1780237819967,keyframe_1780237819967.jpg,15.441258,0.19145368,sudden_movement
1780237820482,keyframe_1780237820482.jpg,11.869907,0.12910676,sudden_movement
1780237820997,keyframe_1780237820997.jpg,19.367313,0.3312425,sudden_movement
1780237821569,keyframe_1780237821569.jpg,7.2250366,0.582936,high_motion_transition
1780237822085,keyframe_1780237822085.jpg,289.62515,0.50820506,high_motion_transition
1780237822656,keyframe_1780237822656.jpg,28.41176,0.2806676,sudden_movement
1780237823171,keyframe_1780237823171.jpg,13.034224,0.17109473,sudden_movement
1780237823686,keyframe_1780237823686.jpg,177.32286,0.50693756,high_motion_transition
1780237824191,keyframe_1780237824191.jpg,0.0,1.0321712,turn_detected
1780237824697,keyframe_1780237824697.jpg,10.938644,0.8885746,high_motion_transition
1780237825231,keyframe_1780237825231.jpg,11.170864,0.24775322,sudden_movement
1780237825746,keyframe_1780237825746.jpg,20.369528,0.13946022,sudden_movement
1780237826433,keyframe_1780237826433.jpg,11.574958,0.083810195,sudden_movement
1780237826947,keyframe_1780237826947.jpg,25.375366,0.11639921,sudden_movement
1780237827463,keyframe_1780237827463.jpg,12.682438,0.07105967,sudden_movement
1780237828034,keyframe_1780237828034.jpg,14.200212,0.3440389,sudden_movement
